match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T1_7,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Ban_T2_7,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
6222200561.0,Dire,91.0,19.0,74.0,48.0,13.0,109.0,1.0,63.0,69.0,29.0,98.0,7.0,104.0,28.0,114.0,26.0,17.0,94.0,4.0,103.0,38.0,106.0,101.0,56.0
6222256714.0,Radiant,91.0,19.0,74.0,17.0,70.0,13.0,106.0,63.0,69.0,29.0,98.0,7.0,16.0,77.0,114.0,26.0,58.0,39.0,97.0,103.0,38.0,9.0,15.0,126.0
6222355816.0,Radiant,91.0,19.0,48.0,109.0,94.0,70.0,41.0,63.0,97.0,13.0,69.0,106.0,7.0,29.0,114.0,58.0,126.0,67.0,77.0,103.0,17.0,101.0,104.0,95.0
6223390469.0,Dire,129.0,29.0,109.0,8.0,23.0,54.0,70.0,114.0,91.0,103.0,46.0,10.0,135.0,74.0,19.0,53.0,55.0,51.0,126.0,112.0,97.0,26.0,106.0,41.0
6223446359.0,Dire,129.0,29.0,106.0,23.0,109.0,41.0,70.0,114.0,91.0,103.0,10.0,51.0,119.0,101.0,19.0,53.0,60.0,74.0,7.0,97.0,112.0,26.0,126.0,54.0
6223515865.0,Dire,19.0,91.0,135.0,94.0,103.0,41.0,79.0,63.0,29.0,46.0,74.0,67.0,69.0,7.0,86.0,57.0,52.0,70.0,129.0,97.0,25.0,114.0,58.0,15.0
6223583227.0,Radiant,91.0,83.0,74.0,46.0,13.0,10.0,94.0,19.0,97.0,58.0,40.0,29.0,104.0,77.0,63.0,25.0,103.0,41.0,38.0,114.0,26.0,7.0,49.0,135.0
6223662107.0,Dire,63.0,25.0,77.0,38.0,69.0,104.0,7.0,91.0,83.0,94.0,70.0,54.0,93.0,109.0,97.0,29.0,58.0,65.0,42.0,19.0,114.0,87.0,11.0,20.0
6223756939.0,Dire,129.0,97.0,70.0,10.0,93.0,41.0,48.0,17.0,19.0,13.0,69.0,126.0,38.0,4.0,103.0,94.0,23.0,26.0,108.0,63.0,29.0,74.0,3.0,114.0
6223877657.0,Dire,135.0,19.0,94.0,48.0,114.0,108.0,55.0,129.0,97.0,26.0,63.0,74.0,41.0,72.0,91.0,29.0,27.0,52.0,109.0,103.0,3.0,70.0,47.0,120.0
6224010002.0,Radiant,135.0,17.0,70.0,109.0,94.0,96.0,16.0,129.0,97.0,29.0,104.0,79.0,41.0,63.0,19.0,128.0,69.0,25.0,75.0,110.0,3.0,48.0,74.0,38.0
6224962333.0,Radiant,63.0,75.0,77.0,79.0,104.0,102.0,111.0,91.0,129.0,46.0,70.0,114.0,87.0,103.0,97.0,110.0,106.0,42.0,51.0,19.0,25.0,26.0,69.0,78.0
6225051773.0,Dire,91.0,19.0,129.0,38.0,29.0,70.0,41.0,63.0,97.0,25.0,88.0,13.0,11.0,49.0,114.0,128.0,7.0,10.0,52.0,110.0,17.0,69.0,26.0,67.0
6225350158.0,Dire,63.0,97.0,114.0,25.0,46.0,52.0,11.0,17.0,19.0,112.0,106.0,10.0,39.0,23.0,26.0,29.0,70.0,102.0,126.0,3.0,129.0,91.0,44.0,21.0
6225461282.0,Radiant,17.0,19.0,114.0,42.0,10.0,81.0,48.0,97.0,129.0,46.0,74.0,67.0,44.0,94.0,128.0,69.0,87.0,49.0,6.0,26.0,25.0,7.0,63.0,41.0
6226709723.0,Radiant,3.0,112.0,26.0,70.0,87.0,6.0,113.0,114.0,19.0,84.0,106.0,128.0,13.0,39.0,97.0,103.0,86.0,109.0,126.0,91.0,129.0,64.0,17.0,67.0
6226789510.0,Radiant,114.0,19.0,70.0,86.0,128.0,46.0,34.0,3.0,91.0,63.0,25.0,87.0,106.0,74.0,26.0,29.0,119.0,10.0,23.0,97.0,58.0,8.0,121.0,126.0
6226873670.0,Radiant,114.0,84.0,126.0,46.0,86.0,34.0,13.0,3.0,26.0,36.0,106.0,54.0,23.0,74.0,112.0,97.0,119.0,18.0,17.0,19.0,103.0,77.0,79.0,25.0
6227105229.0,Radiant,114.0,19.0,97.0,106.0,3.0,52.0,25.0,129.0,112.0,95.0,44.0,109.0,23.0,17.0,103.0,29.0,26.0,89.0,126.0,91.0,70.0,87.0,77.0,120.0
6227203516.0,Dire,129.0,112.0,25.0,74.0,1.0,23.0,126.0,114.0,19.0,70.0,38.0,77.0,92.0,79.0,91.0,52.0,7.0,10.0,53.0,3.0,97.0,119.0,48.0,13.0
6227305557.0,Dire,114.0,112.0,70.0,29.0,41.0,13.0,126.0,19.0,91.0,10.0,23.0,103.0,17.0,106.0,97.0,119.0,44.0,87.0,74.0,86.0,85.0,67.0,4.0,34.0
6227419633.0,Radiant,129.0,119.0,69.0,41.0,109.0,25.0,17.0,114.0,19.0,106.0,44.0,70.0,34.0,47.0,97.0,3.0,48.0,85.0,23.0,112.0,26.0,67.0,2.0,46.0
6227492909.0,Radiant,114.0,85.0,86.0,34.0,128.0,111.0,84.0,129.0,119.0,89.0,70.0,48.0,54.0,18.0,97.0,3.0,112.0,106.0,109.0,19.0,77.0,23.0,101.0,58.0
6212511010.0,Dire,91.0,114.0,77.0,17.0,13.0,38.0,53.0,63.0,128.0,15.0,109.0,40.0,104.0,7.0,85.0,23.0,26.0,10.0,36.0,19.0,3.0,9.0,106.0,103.0
6212554150.0,Radiant,91.0,114.0,94.0,128.0,63.0,8.0,48.0,19.0,103.0,46.0,4.0,13.0,10.0,109.0,29.0,27.0,126.0,85.0,15.0,120.0,74.0,31.0,14.0,72.0
6212505407.0,Radiant,19.0,114.0,88.0,69.0,74.0,38.0,55.0,102.0,65.0,15.0,20.0,17.0,129.0,77.0,26.0,103.0,25.0,10.0,29.0,91.0,72.0,51.0,49.0,60.0
6212552870.0,Radiant,114.0,75.0,10.0,74.0,39.0,79.0,83.0,19.0,91.0,52.0,25.0,13.0,94.0,109.0,26.0,102.0,69.0,106.0,95.0,29.0,128.0,17.0,48.0,60.0
6212505052.0,Radiant,114.0,91.0,13.0,39.0,74.0,41.0,10.0,19.0,7.0,54.0,60.0,77.0,94.0,72.0,135.0,17.0,55.0,62.0,18.0,75.0,16.0,9.0,52.0,8.0
6212550529.0,Dire,135.0,103.0,52.0,18.0,25.0,41.0,95.0,19.0,91.0,75.0,67.0,63.0,8.0,10.0,114.0,77.0,17.0,3.0,54.0,7.0,45.0,110.0,13.0,99.0
6212505466.0,Dire,66.0,114.0,74.0,126.0,94.0,18.0,72.0,19.0,91.0,128.0,41.0,43.0,79.0,53.0,7.0,39.0,85.0,10.0,25.0,29.0,86.0,104.0,68.0,56.0
6212548014.0,Radiant,7.0,68.0,65.0,29.0,43.0,17.0,23.0,114.0,104.0,10.0,94.0,9.0,95.0,109.0,19.0,103.0,4.0,128.0,56.0,91.0,72.0,120.0,28.0,39.0
6212609431.0,Radiant,9.0,91.0,25.0,74.0,20.0,18.0,95.0,7.0,19.0,41.0,38.0,89.0,107.0,86.0,114.0,39.0,84.0,53.0,12.0,63.0,100.0,3.0,17.0,4.0
6212664257.0,Radiant,9.0,63.0,70.0,18.0,41.0,72.0,93.0,114.0,7.0,103.0,38.0,126.0,60.0,104.0,19.0,128.0,13.0,84.0,56.0,91.0,129.0,74.0,26.0,94.0
6212616141.0,Radiant,10.0,135.0,18.0,23.0,94.0,69.0,17.0,114.0,19.0,72.0,39.0,103.0,67.0,63.0,91.0,77.0,106.0,87.0,41.0,68.0,16.0,83.0,109.0,52.0
6212662330.0,Dire,114.0,19.0,41.0,10.0,17.0,1.0,95.0,63.0,7.0,65.0,39.0,74.0,60.0,104.0,91.0,72.0,83.0,52.0,20.0,103.0,97.0,128.0,25.0,109.0
6212621657.0,Radiant,68.0,128.0,10.0,129.0,29.0,95.0,94.0,19.0,114.0,7.0,60.0,38.0,84.0,87.0,91.0,72.0,28.0,126.0,110.0,103.0,26.0,100.0,39.0,89.0
6212683916.0,Dire,19.0,91.0,10.0,126.0,55.0,54.0,93.0,38.0,68.0,110.0,20.0,13.0,17.0,23.0,128.0,129.0,103.0,18.0,21.0,114.0,102.0,77.0,74.0,7.0
6212599176.0,Radiant,91.0,38.0,17.0,66.0,93.0,47.0,52.0,7.0,114.0,40.0,65.0,77.0,25.0,35.0,103.0,63.0,29.0,67.0,11.0,19.0,75.0,129.0,86.0,43.0
6212664546.0,Radiant,103.0,63.0,25.0,26.0,52.0,79.0,121.0,91.0,38.0,110.0,94.0,29.0,98.0,129.0,114.0,17.0,3.0,48.0,60.0,40.0,19.0,39.0,77.0,7.0
6212734541.0,Radiant,19.0,114.0,77.0,29.0,38.0,7.0,4.0,26.0,69.0,17.0,25.0,60.0,72.0,93.0,91.0,88.0,49.0,52.0,41.0,103.0,63.0,3.0,74.0,28.0
6212811820.0,Radiant,91.0,75.0,46.0,74.0,39.0,18.0,56.0,19.0,114.0,10.0,121.0,70.0,93.0,8.0,7.0,69.0,25.0,87.0,67.0,26.0,29.0,84.0,126.0,42.0
6212734584.0,Dire,19.0,91.0,56.0,74.0,102.0,15.0,10.0,65.0,68.0,128.0,7.0,17.0,55.0,4.0,129.0,47.0,107.0,95.0,38.0,114.0,53.0,104.0,120.0,97.0
6212832858.0,Radiant,19.0,114.0,103.0,52.0,8.0,68.0,36.0,47.0,91.0,12.0,56.0,4.0,74.0,65.0,29.0,128.0,7.0,10.0,53.0,129.0,63.0,85.0,94.0,60.0
6212765732.0,Dire,68.0,86.0,95.0,17.0,74.0,67.0,42.0,19.0,91.0,10.0,18.0,38.0,104.0,29.0,7.0,114.0,52.0,41.0,30.0,75.0,107.0,13.0,40.0,94.0
6212838494.0,Radiant,114.0,75.0,18.0,94.0,109.0,39.0,47.0,19.0,135.0,74.0,15.0,93.0,17.0,126.0,91.0,77.0,3.0,48.0,13.0,60.0,9.0,128.0,10.0,49.0
6212747363.0,Dire,19.0,114.0,27.0,26.0,3.0,48.0,18.0,63.0,5.0,16.0,94.0,10.0,60.0,15.0,103.0,128.0,13.0,67.0,69.0,91.0,17.0,29.0,75.0,95.0
6212858704.0,Radiant,63.0,114.0,94.0,95.0,15.0,23.0,69.0,17.0,103.0,85.0,128.0,68.0,10.0,74.0,19.0,77.0,30.0,9.0,106.0,91.0,83.0,2.0,72.0,65.0
6212903550.0,Dire,114.0,128.0,56.0,54.0,109.0,78.0,23.0,91.0,63.0,74.0,16.0,60.0,1.0,25.0,19.0,79.0,9.0,20.0,126.0,51.0,43.0,112.0,10.0,7.0
6212978366.0,Radiant,63.0,68.0,74.0,10.0,65.0,39.0,17.0,114.0,51.0,103.0,97.0,20.0,41.0,34.0,19.0,112.0,104.0,101.0,23.0,91.0,129.0,128.0,18.0,15.0
6212903656.0,Radiant,38.0,68.0,18.0,54.0,29.0,74.0,65.0,114.0,91.0,126.0,86.0,110.0,17.0,70.0,19.0,77.0,26.0,128.0,49.0,63.0,103.0,60.0,94.0,23.0
6212985654.0,Radiant,114.0,19.0,18.0,7.0,26.0,93.0,48.0,38.0,68.0,74.0,13.0,63.0,67.0,55.0,29.0,53.0,17.0,100.0,15.0,91.0,25.0,123.0,104.0,72.0
6212904276.0,Radiant,114.0,91.0,86.0,66.0,34.0,93.0,41.0,103.0,7.0,18.0,95.0,109.0,13.0,46.0,63.0,29.0,83.0,94.0,23.0,19.0,77.0,87.0,74.0,129.0
6212993517.0,Radiant,38.0,91.0,94.0,93.0,34.0,129.0,7.0,63.0,75.0,39.0,102.0,17.0,68.0,126.0,114.0,29.0,104.0,109.0,103.0,65.0,84.0,9.0,10.0,78.0
6212930768.0,Dire,103.0,19.0,17.0,65.0,29.0,106.0,49.0,91.0,114.0,25.0,10.0,84.0,74.0,34.0,7.0,53.0,70.0,55.0,13.0,75.0,100.0,98.0,18.0,126.0
6213019393.0,Radiant,114.0,91.0,74.0,39.0,1.0,54.0,10.0,19.0,129.0,29.0,75.0,18.0,38.0,120.0,79.0,17.0,88.0,72.0,16.0,7.0,20.0,52.0,27.0,94.0
6213048431.0,Radiant,19.0,91.0,75.0,121.0,74.0,8.0,107.0,63.0,26.0,95.0,18.0,89.0,109.0,12.0,110.0,129.0,25.0,112.0,97.0,114.0,77.0,3.0,13.0,70.0
6213136339.0,Dire,63.0,26.0,25.0,52.0,15.0,70.0,93.0,19.0,91.0,75.0,8.0,109.0,12.0,67.0,114.0,29.0,111.0,17.0,95.0,110.0,129.0,87.0,46.0,10.0
6213067601.0,Radiant,19.0,77.0,67.0,38.0,60.0,1.0,48.0,114.0,29.0,13.0,74.0,49.0,119.0,7.0,68.0,16.0,21.0,10.0,88.0,91.0,17.0,55.0,62.0,135.0
6213144598.0,Radiant,29.0,91.0,51.0,79.0,88.0,114.0,63.0,62.0,68.0,99.0,65.0,98.0,17.0,43.0,85.0,107.0,36.0,135.0,53.0,19.0,77.0,128.0,111.0,56.0
6213087580.0,Dire,25.0,63.0,18.0,112.0,94.0,17.0,46.0,114.0,91.0,75.0,121.0,87.0,34.0,52.0,19.0,77.0,128.0,102.0,74.0,3.0,29.0,110.0,109.0,23.0
6213155110.0,Radiant,63.0,91.0,74.0,41.0,72.0,4.0,89.0,19.0,114.0,87.0,69.0,94.0,10.0,48.0,7.0,25.0,120.0,85.0,67.0,29.0,128.0,51.0,126.0,109.0
6213107703.0,Dire,47.0,91.0,10.0,15.0,74.0,23.0,65.0,19.0,114.0,13.0,126.0,38.0,129.0,60.0,29.0,94.0,58.0,25.0,96.0,87.0,7.0,103.0,35.0,41.0
6213194720.0,Radiant,94.0,47.0,17.0,74.0,13.0,41.0,46.0,19.0,91.0,10.0,25.0,126.0,101.0,8.0,114.0,128.0,106.0,104.0,54.0,110.0,129.0,39.0,107.0,15.0
6213621537.0,Radiant,91.0,120.0,112.0,10.0,56.0,41.0,67.0,114.0,79.0,68.0,77.0,128.0,104.0,29.0,19.0,39.0,86.0,84.0,97.0,51.0,43.0,7.0,101.0,73.0
6213684910.0,Dire,91.0,112.0,103.0,18.0,4.0,46.0,25.0,114.0,19.0,48.0,74.0,120.0,39.0,52.0,84.0,86.0,56.0,69.0,23.0,29.0,128.0,66.0,42.0,34.0
6213620610.0,Radiant,91.0,86.0,10.0,94.0,109.0,12.0,89.0,114.0,19.0,74.0,121.0,67.0,70.0,93.0,63.0,69.0,87.0,46.0,15.0,29.0,25.0,102.0,26.0,42.0
6213674858.0,Dire,29.0,69.0,18.0,10.0,54.0,11.0,25.0,114.0,91.0,86.0,17.0,106.0,74.0,126.0,19.0,77.0,87.0,110.0,49.0,7.0,63.0,103.0,94.0,65.0
6213619890.0,Dire,129.0,103.0,98.0,12.0,79.0,18.0,89.0,114.0,91.0,74.0,52.0,51.0,16.0,38.0,19.0,102.0,17.0,9.0,77.0,7.0,40.0,25.0,84.0,4.0
6213662751.0,Dire,114.0,91.0,26.0,41.0,38.0,98.0,28.0,7.0,19.0,129.0,16.0,88.0,12.0,1.0,79.0,13.0,96.0,135.0,54.0,103.0,74.0,128.0,94.0,29.0
6213612887.0,Dire,120.0,91.0,79.0,38.0,68.0,128.0,121.0,63.0,114.0,103.0,3.0,10.0,46.0,48.0,29.0,52.0,110.0,51.0,18.0,60.0,34.0,26.0,8.0,40.0
6213685234.0,Radiant,63.0,29.0,46.0,49.0,3.0,41.0,94.0,91.0,34.0,8.0,38.0,120.0,77.0,9.0,114.0,25.0,111.0,16.0,18.0,129.0,110.0,74.0,75.0,67.0
6213722366.0,Radiant,114.0,103.0,41.0,77.0,13.0,78.0,120.0,29.0,85.0,67.0,53.0,65.0,48.0,72.0,91.0,63.0,17.0,38.0,70.0,19.0,68.0,7.0,10.0,101.0
6213792328.0,Dire,91.0,77.0,65.0,17.0,48.0,93.0,67.0,103.0,13.0,51.0,74.0,63.0,53.0,3.0,29.0,56.0,86.0,38.0,49.0,114.0,69.0,83.0,25.0,19.0
6213724196.0,Dire,114.0,19.0,18.0,75.0,88.0,10.0,41.0,110.0,29.0,74.0,55.0,13.0,77.0,53.0,62.0,135.0,126.0,87.0,40.0,63.0,25.0,7.0,26.0,94.0
6213780995.0,Dire,114.0,63.0,25.0,39.0,13.0,40.0,38.0,19.0,91.0,55.0,10.0,29.0,48.0,42.0,7.0,17.0,75.0,128.0,18.0,5.0,83.0,69.0,67.0,36.0
6213705633.0,Radiant,7.0,129.0,95.0,29.0,23.0,70.0,63.0,19.0,17.0,74.0,3.0,13.0,1.0,48.0,114.0,77.0,106.0,128.0,87.0,64.0,26.0,25.0,16.0,54.0
6213756711.0,Radiant,19.0,114.0,38.0,60.0,48.0,93.0,94.0,7.0,129.0,13.0,43.0,63.0,95.0,70.0,128.0,29.0,75.0,84.0,10.0,91.0,17.0,104.0,30.0,18.0
6213751072.0,Dire,129.0,91.0,47.0,74.0,10.0,97.0,95.0,114.0,19.0,46.0,12.0,65.0,70.0,8.0,29.0,128.0,77.0,13.0,42.0,69.0,87.0,25.0,112.0,93.0
6213809677.0,Radiant,114.0,129.0,87.0,69.0,25.0,98.0,68.0,19.0,91.0,74.0,103.0,65.0,12.0,10.0,26.0,29.0,77.0,17.0,95.0,53.0,7.0,47.0,109.0,13.0
6213850836.0,Radiant,114.0,7.0,74.0,38.0,23.0,39.0,106.0,19.0,97.0,72.0,60.0,18.0,13.0,25.0,91.0,3.0,129.0,4.0,17.0,63.0,103.0,77.0,10.0,126.0
6213917770.0,Radiant,114.0,7.0,109.0,110.0,89.0,13.0,23.0,91.0,19.0,54.0,48.0,103.0,74.0,17.0,63.0,60.0,18.0,128.0,106.0,86.0,129.0,87.0,94.0,69.0
6213829716.0,Dire,77.0,68.0,38.0,49.0,109.0,104.0,16.0,114.0,91.0,110.0,53.0,97.0,69.0,60.0,19.0,39.0,48.0,84.0,98.0,112.0,43.0,3.0,41.0,74.0
6213928949.0,Dire,68.0,77.0,25.0,112.0,41.0,38.0,95.0,114.0,19.0,18.0,60.0,104.0,65.0,53.0,91.0,17.0,120.0,72.0,28.0,103.0,97.0,87.0,34.0,109.0
6213807406.0,Dire,63.0,114.0,77.0,10.0,40.0,25.0,39.0,91.0,38.0,41.0,48.0,19.0,94.0,8.0,103.0,74.0,97.0,123.0,72.0,7.0,128.0,87.0,67.0,23.0
6213874030.0,Radiant,91.0,19.0,48.0,74.0,34.0,18.0,8.0,114.0,7.0,87.0,23.0,94.0,106.0,13.0,63.0,69.0,103.0,109.0,126.0,128.0,29.0,39.0,55.0,89.0
6213872023.0,Dire,29.0,63.0,13.0,95.0,93.0,65.0,106.0,114.0,19.0,25.0,16.0,17.0,74.0,35.0,91.0,18.0,9.0,7.0,129.0,128.0,97.0,84.0,94.0,52.0
6213957027.0,Dire,29.0,63.0,23.0,65.0,34.0,10.0,109.0,114.0,19.0,17.0,106.0,9.0,13.0,126.0,91.0,72.0,135.0,16.0,74.0,128.0,28.0,103.0,20.0,35.0
6214007406.0,Dire,29.0,77.0,17.0,13.0,52.0,26.0,123.0,19.0,91.0,62.0,74.0,46.0,55.0,38.0,75.0,135.0,126.0,51.0,53.0,102.0,7.0,25.0,10.0,98.0
6214092702.0,Radiant,62.0,75.0,10.0,39.0,114.0,36.0,47.0,19.0,91.0,41.0,25.0,29.0,48.0,67.0,103.0,86.0,69.0,17.0,6.0,7.0,63.0,85.0,13.0,18.0
6214018519.0,Dire,128.0,75.0,1.0,20.0,13.0,38.0,40.0,77.0,114.0,28.0,129.0,60.0,70.0,18.0,91.0,17.0,69.0,119.0,41.0,19.0,63.0,106.0,9.0,42.0
6214107399.0,Dire,75.0,83.0,38.0,28.0,49.0,18.0,67.0,114.0,19.0,74.0,23.0,25.0,29.0,60.0,128.0,41.0,13.0,103.0,104.0,91.0,63.0,52.0,7.0,95.0
6213959825.0,Dire,25.0,7.0,8.0,10.0,12.0,63.0,72.0,19.0,114.0,52.0,46.0,11.0,17.0,65.0,129.0,110.0,109.0,87.0,16.0,91.0,60.0,75.0,34.0,54.0
6214070564.0,Radiant,110.0,47.0,74.0,41.0,52.0,15.0,6.0,19.0,7.0,25.0,77.0,60.0,40.0,109.0,114.0,75.0,29.0,17.0,94.0,129.0,64.0,128.0,46.0,1.0
6214049386.0,Radiant,63.0,128.0,41.0,25.0,43.0,98.0,36.0,114.0,91.0,13.0,56.0,39.0,88.0,74.0,19.0,104.0,60.0,119.0,34.0,29.0,110.0,69.0,94.0,97.0
6214131970.0,Radiant,63.0,128.0,41.0,36.0,25.0,55.0,33.0,19.0,91.0,34.0,13.0,74.0,15.0,10.0,114.0,104.0,106.0,86.0,93.0,64.0,83.0,17.0,95.0,20.0
6214179880.0,Radiant,10.0,128.0,23.0,46.0,72.0,18.0,70.0,19.0,68.0,77.0,29.0,75.0,69.0,60.0,114.0,74.0,41.0,87.0,16.0,91.0,129.0,63.0,126.0,48.0
